Name,Rating,Reviews,Salary,Jobs,Location
SAP,4.2,1.8k Reviews,15.5k Salaries,175 Jobs,Software Product | Bangalore / Bengaluru +53 other locations
Brakes India,3.9,1.8k Reviews,6.7k Salaries,11 Jobs,Auto Components | Chennai +88 other locations
BNP Paribas,3.8,1.8k Reviews,15.9k Salaries,518 Jobs,Financial Services | Mumbai +25 other locations
Power Mech Projects,3.8,1.8k Reviews,6.2k Salaries,1 Jobs,Engineering & Construction | Hyderabad / Secunderabad +141 other locations
Poonawalla Fincorp,3.7,1.8k Reviews,5k Salaries,8 Jobs,NBFC | Pune +254 other locations
Daikin Airconditioning India Pvt. Ltd.,4.1,1.8k Reviews,6.8k Salaries,5 Jobs,Consumer Electronics & Appliances | Neemrana +101 other locations
Kotak Securities,3.6,1.8k Reviews,9.2k Salaries,12 Jobs,Financial Services | Mumbai +133 other locations
CitiusTech,3.3,1.8k Reviews,13.3k Salaries,37 Jobs,IT Services & Consulting | Mumbai +16 other locations
YASH Technologies,3.8,1.8k Reviews,15.7k Salaries,448 Jobs,IT Services & Consulting | Hyderabad / Secunderabad +28 other locations
Mercedes-Benz Research and Development India,3.8,1.8k Reviews,16.2k Salaries,-- Jobs,IT Services & Consulting | Bangalore / Bengaluru +47 other locations
ITC Hotels,4.1,1.8k Reviews,5.2k Salaries,-- Jobs,New Delhi +88 other locations
Tata Motors Finance,4.1,1.8k Reviews,4.2k Salaries,2 Jobs,NBFC | Mumbai +242 other locations
Saint-Gobain,4.0,1.8k Reviews,10.3k Salaries,26 Jobs,Engineering & Construction | Mumbai +95 other locations
Novartis,4.1,1.8k Reviews,8.9k Salaries,261 Jobs,Pharma | Hyderabad / Secunderabad +74 other locations
Senco Gold,4.4,1.8k Reviews,1.4k Salaries,7 Jobs,Jewellery | Kolkata +73 other locations
Morgan Stanley,3.6,1.8k Reviews,22.8k Salaries,2 Jobs,Financial Services | Mumbai +17 other locations
FirstCry,3.5,1.8k Reviews,8.1k Salaries,22 Jobs,Internet | Pune +188 other locations
Google,4.4,1.8k Reviews,23.6k Salaries,422 Jobs,Software Product | Bangalore / Bengaluru +82 other locations
JK Tyres,3.6,1.8k Reviews,6.4k Salaries,2 Jobs,Auto Components | Chennai +132 other locations
Reliance General Insurance,3.6,1.8k Reviews,6.8k Salaries,4 Jobs,Insurance | Mumbai +187 other locations
L&T Energy Hydrocarbon,3.8,1.7k Reviews,8k Salaries,-- Jobs,Engineering & Construction | Vadodara +83 other locations
Crisil,3.6,1.7k Reviews,11.8k Salaries,674 Jobs,Analytics & KPO | Mumbai +69 other locations
Parle Products,3.9,1.7k Reviews,3.4k Salaries,6 Jobs,FMCG | Mumbai +226 other locations
AECOM,4.2,1.7k Reviews,6.3k Salaries,226 Jobs,Engineering & Construction | Gurgaon / Gurugram +117 other locations
Zepto,3.5,1.7k Reviews,6.4k Salaries,32 Jobs,Internet | Bangalore / Bengaluru +77 other locations
IDBI Bank,3.5,1.7k Reviews,5.7k Salaries,-- Jobs,Banking | Mumbai +306 other locations
Biological E,4.2,1.7k Reviews,6.7k Salaries,30 Jobs,Pharma | Hyderabad / Secunderabad +62 other locations
SGS,3.9,1.7k Reviews,6k Salaries,121 Jobs,Clinical Research | Mumbai +131 other locations
Honeywell Automation,3.7,1.7k Reviews,11.3k Salaries,-- Jobs,Industrial Automation | Pune +77 other locations
NCR Corporation,3.7,1.7k Reviews,8.7k Salaries,164 Jobs,IT Services & Consulting | Hyderabad / Secunderabad +87 other locations
Infinite Computer Solutions,3.4,1.7k Reviews,13.2k Salaries,246 Jobs,IT Services & Consulting | Bangalore / Bengaluru +35 other locations
Paisabazaar.com,3.4,1.7k Reviews,6.7k Salaries,34 Jobs,Internet | Gurgaon / Gurugram +31 other locations
Gabriel India Limited,4.1,1.7k Reviews,5.5k Salaries,2 Jobs,Auto Components | Pune +44 other locations
Nuvoco Vistas,4.1,1.7k Reviews,6.3k Salaries,4 Jobs,Building Material | Kolkata +173 other locations
Future Retail,4.3,1.7k Reviews,4.5k Salaries,-- Jobs,Retail | Mumbai +197 other locations
Lucas-TVS,3.9,1.7k Reviews,5.7k Salaries,1 Jobs,Auto Components | Chennai +73 other locations
Philips,3.8,1.7k Reviews,10.1k Salaries,103 Jobs,Consumer Electronics & Appliances | Bangalore / Bengaluru +87 other locations
Microland,3.5,1.7k Reviews,10.5k Salaries,542 Jobs,IT Services & Consulting | Bangalore / Bengaluru +43 other locations
Jio Platforms,3.4,1.7k Reviews,11.4k Salaries,-- Jobs,IT Services & Consulting | Mumbai +89 other locations
KENT RO Systems,3.9,1.7k Reviews,4.5k Salaries,9 Jobs,Consumer Electronics & Appliances | Noida +146 other locations
Dr Lal PathLabs,4.1,1.7k Reviews,4.2k Salaries,81 Jobs,Healthcare | New Delhi +183 other locations
R.R. Donnelley,3.8,1.7k Reviews,9.6k Salaries,15 Jobs,Marketing & Advertising | Chennai +23 other locations
Uflex,3.8,1.7k Reviews,6.5k Salaries,75 Jobs,Packaging | Noida +45 other locations
EPAM Systems,3.7,1.7k Reviews,17k Salaries,78 Jobs,IT Services & Consulting | Hyderabad / Secunderabad +31 other locations
Narayana Health,4.0,1.7k Reviews,5.7k Salaries,164 Jobs,Healthcare | Bangalore / Bengaluru +62 other locations
Iris Software,4.0,1.7k Reviews,7.1k Salaries,100 Jobs,IT Services & Consulting | Noida +24 other locations
Angel One,3.8,1.7k Reviews,7k Salaries,55 Jobs,FinTech | Mumbai +128 other locations
Dhani Loans and Services,3.9,1.7k Reviews,4.6k Salaries,7 Jobs,NBFC | Gurgaon / Gurugram +185 other locations
Newgen Software Technologies,3.8,1.7k Reviews,10.8k Salaries,2 Jobs,IT Services & Consulting | Noida +29 other locations
GAO Tek,4.4,1.7k Reviews,229 Salaries,-- Jobs,Electrical Equipment | New York +36 other locations
Safexpress,4.0,1.7k Reviews,5.4k Salaries,3 Jobs,Logistics | New Delhi +149 other locations
Thomson Reuters,4.1,1.7k Reviews,10.1k Salaries,98 Jobs,Software Product | Bangalore / Bengaluru +26 other locations
AXA Business Services,3.9,1.7k Reviews,7.1k Salaries,6 Jobs,Insurance | Pune +10 other locations
Motherson Automotive Technologies and Engineering,3.8,1.7k Reviews,7k Salaries,17 Jobs,Auto Components | Chennai +62 other locations
Hindustan Aeronautics,4.3,1.7k Reviews,4.2k Salaries,-- Jobs,Defence & Aerospace | Bangalore / Bengaluru +60 other locations
Stellar Migration,1.3,1.7k Reviews,-- Salaries,-- Jobs,Dubai +2 other locations
Sterling & Wilson,4.1,1.7k Reviews,7.1k Salaries,3 Jobs,Engineering & Construction | Mumbai +115 other locations
Adecco Group,3.7,1.7k Reviews,6.7k Salaries,28 Jobs,Bangalore / Bengaluru +161 other locations
TVS Sundram Fasteners,3.7,1.7k Reviews,6.5k Salaries,-- Jobs,Auto Components | Chennai +56 other locations
Globiva,3.1,1.7k Reviews,4.7k Salaries,24 Jobs,BPO | Gurgaon / Gurugram +27 other locations
American Broadcasting Company,4.0,1.6k Reviews,25.8k Salaries,9 Jobs,Bangalore / Bengaluru +106 other locations
G R Infraprojects,4.1,1.6k Reviews,5.2k Salaries,30 Jobs,Engineering & Construction | Gurgaon / Gurugram +149 other locations
Medi Assist India,3.5,1.6k Reviews,6.9k Salaries,68 Jobs,Insurance | Bangalore / Bengaluru +63 other locations
NTPC,4.3,1.6k Reviews,3.9k Salaries,-- Jobs,Power | New Delhi +115 other locations
Torrent Power,3.8,1.6k Reviews,7.2k Salaries,41 Jobs,Power | Ahmedabad +52 other locations
Honda Cars,4.3,1.6k Reviews,6.1k Salaries,-- Jobs,Automobile | Bhiwadi +107 other locations
Aragen Life Sciences,4.0,1.6k Reviews,6.1k Salaries,49 Jobs,Clinical Research | Hyderabad / Secunderabad +26 other locations
Altruist Technologies,3.2,1.6k Reviews,7.7k Salaries,10 Jobs,BPO | Bangalore / Bengaluru +39 other locations
Tata Electronics,4.0,1.6k Reviews,7.6k Salaries,5 Jobs,Semiconductors | Hosur +34 other locations
Spinny,3.6,1.6k Reviews,6.5k Salaries,18 Jobs,Internet | Gurgaon / Gurugram +57 other locations
HTC Global Services,3.5,1.6k Reviews,12.1k Salaries,67 Jobs,IT Services & Consulting | Chennai +31 other locations
SS&C TECHNOLOGIES,3.3,1.6k Reviews,13.1k Salaries,55 Jobs,IT Services & Consulting | Mumbai +29 other locations
Cafe Coffee Day,3.7,1.6k Reviews,3.7k Salaries,23 Jobs,Hospitality | Bangalore / Bengaluru +98 other locations
V-Guard Industries,4.4,1.6k Reviews,4.2k Salaries,39 Jobs,Consumer Electronics & Appliances | Kochi +153 other locations
Kalyan Jewellers,4.6,1.6k Reviews,1.4k Salaries,17 Jobs,Jewellery | Thrissur +139 other locations
PI Industries,3.9,1.6k Reviews,6.5k Salaries,11 Jobs,Agro Chemicals | Vadodara +98 other locations
CMS Infosystems,3.6,1.6k Reviews,4.4k Salaries,12 Jobs,Other | Mumbai +192 other locations
Trident Group,3.4,1.6k Reviews,5.1k Salaries,20 Jobs,Fashion & Textile | Barnala +54 other locations
Haier Appliances India,4.0,1.6k Reviews,6.5k Salaries,30 Jobs,Consumer Electronics & Appliances | Pune +125 other locations
Vedantu,3.3,1.6k Reviews,9k Salaries,12 Jobs,EdTech | Bangalore / Bengaluru +68 other locations
Fusion CX,3.5,1.6k Reviews,4.1k Salaries,51 Jobs,Kolkata +48 other locations
DHL Supply Chain,4.2,1.6k Reviews,5.5k Salaries,22 Jobs,Logistics | Mumbai +93 other locations
MetLife,4.1,1.6k Reviews,8.3k Salaries,102 Jobs,Insurance | Noida +40 other locations
Infinx,3.9,1.6k Reviews,4.8k Salaries,25 Jobs,Software Product | Hyderabad / Secunderabad +34 other locations
BT Business,4.0,1.6k Reviews,8.9k Salaries,1 Jobs,Hardware & Networking | Gurgaon / Gurugram +12 other locations
Trent,4.0,1.6k Reviews,4.1k Salaries,20 Jobs,Retail | Mumbai +130 other locations
Manipal Hospitals,4.1,1.6k Reviews,5.8k Salaries,68 Jobs,Healthcare | Bangalore / Bengaluru +64 other locations
Aditya Birla Health Insurance Co,3.8,1.6k Reviews,6.6k Salaries,4 Jobs,Insurance | Mumbai +234 other locations
NeoSOFT,3.6,1.6k Reviews,9.9k Salaries,11 Jobs,IT Services & Consulting | Mumbai +23 other locations
Innovsource Services,3.9,1.6k Reviews,4.4k Salaries,-- Jobs,Recruitment | Mumbai +225 other locations
NEC,4.3,1.6k Reviews,5.4k Salaries,10 Jobs,IT Services & Consulting | Noida +54 other locations
Tata Power,3.9,1.6k Reviews,6.6k Salaries,8 Jobs,Power | Mumbai +141 other locations
CNH ( Case New Holland),3.8,1.6k Reviews,5.4k Salaries,34 Jobs,Industrial Machinery | Gurgaon / Gurugram +111 other locations
Indian Navy,4.6,1.6k Reviews,3.3k Salaries,-- Jobs,Defence & Aerospace | Mumbai +69 other locations
Aadhar Housing Finance,4.1,1.6k Reviews,4.4k Salaries,3 Jobs,Financial Services | Mumbai +297 other locations
USHA International,4.0,1.6k Reviews,4.5k Salaries,5 Jobs,Consumer Electronics & Appliances | Gurgaon / Gurugram +134 other locations
Jindal Saw,4.0,1.6k Reviews,6k Salaries,5 Jobs,Iron & Steel | Mundra +71 other locations
Reckitt Benckiser,4.0,1.6k Reviews,5.9k Salaries,35 Jobs,FMCG | Gurgaon / Gurugram +124 other locations
Shadowfax Technologies,3.5,1.6k Reviews,6.2k Salaries,28 Jobs,Logistics | Bangalore / Bengaluru +205 other locations
BA Continuum,4.1,1.6k Reviews,9.9k Salaries,-- Jobs,NBFC | Hyderabad / Secunderabad +18 other locations
First American Corporation,3.5,1.5k Reviews,8.4k Salaries,51 Jobs,Insurance | Bangalore / Bengaluru +21 other locations
Tata Communications Transformation Services,3.9,1.5k Reviews,8k Salaries,-- Jobs,Telecom | Pune +88 other locations
Exela Technologies,3.3,1.5k Reviews,7.7k Salaries,2 Jobs,IT Services & Consulting | Chennai +25 other locations
Tata Play,4.0,1.5k Reviews,4.5k Salaries,7 Jobs,Broadcasting | Mumbai +213 other locations
Polycab Wires,4.0,1.5k Reviews,6.4k Salaries,8 Jobs,Electrical Equipment | Vadodara +152 other locations
USV,4.0,1.5k Reviews,5.4k Salaries,20 Jobs,Pharma | Mumbai +100 other locations
Metro Cash & Carry,4.1,1.5k Reviews,4.7k Salaries,-- Jobs,Retail | Bangalore / Bengaluru +83 other locations
Matrimony.com,4.2,1.5k Reviews,4.3k Salaries,23 Jobs,Internet | Chennai +62 other locations
Hindustan Petroleum,4.2,1.5k Reviews,5.5k Salaries,-- Jobs,Oil & Gas | Mumbai +235 other locations
DIVI'S Laboratories,3.7,1.5k Reviews,6.5k Salaries,-- Jobs,Pharma | Visakhapatnam +34 other locations
FactSet,3.9,1.5k Reviews,9.6k Salaries,1 Jobs,Financial Services | Hyderabad / Secunderabad +16 other locations
MagicBricks,4.2,1.5k Reviews,4.2k Salaries,50 Jobs,Internet | Noida +32 other locations
ICICI Home Finance,3.8,1.5k Reviews,4.9k Salaries,5 Jobs,Financial Services | Mumbai +203 other locations
Mother Dairy Fruit & Vegetable,4.0,1.5k Reviews,4.6k Salaries,-- Jobs,Food Processing | New Delhi +122 other locations
HighRadius,2.8,1.5k Reviews,7.8k Salaries,19 Jobs,Software Product | Hyderabad / Secunderabad +16 other locations
Frankfinn Institute of Air Hostess Training,3.9,1.5k Reviews,3.3k Salaries,68 Jobs,Education & Training | Gurgaon / Gurugram +59 other locations
Orange Business,4.2,1.5k Reviews,8.5k Salaries,134 Jobs,IT Services & Consulting | Gurgaon / Gurugram +49 other locations
Aye Finance,4.1,1.5k Reviews,3.2k Salaries,17 Jobs,NBFC | Gurgaon / Gurugram +316 other locations
Tata Teleservices,3.9,1.5k Reviews,3.4k Salaries,32 Jobs,Telecom | Mumbai +135 other locations
Cavinkare,3.9,1.5k Reviews,4.7k Salaries,10 Jobs,FMCG | Chennai +159 other locations
CorroHealth infotech,3.2,1.5k Reviews,6.2k Salaries,122 Jobs,Analytics & KPO | Hyderabad / Secunderabad +29 other locations
Bata,3.5,1.5k Reviews,3.8k Salaries,3 Jobs,Fashion & Textile | Gurgaon / Gurugram +139 other locations
JSW Bhushan Power & Steel,4.0,1.5k Reviews,4.8k Salaries,-- Jobs,Jharsuguda +57 other locations
Haldiram Foods International Limited,3.8,1.5k Reviews,5.4k Salaries,3 Jobs,FMCG | Nagpur +141 other locations
Chegg,4.1,1.5k Reviews,3.9k Salaries,20 Jobs,EdTech | New Delhi +77 other locations
HCL Infosystems,3.9,1.5k Reviews,7.7k Salaries,1 Jobs,IT Services & Consulting | Noida +105 other locations
CMA CGM,3.9,1.5k Reviews,8.1k Salaries,11 Jobs,Ports & Shipping | Chennai +30 other locations
DHL Express,4.0,1.5k Reviews,5.9k Salaries,-- Jobs,Logistics | Mumbai +90 other locations
HERE Technologies,3.8,1.5k Reviews,7.4k Salaries,23 Jobs,IT Services & Consulting | Mumbai +19 other locations
Verizon,4.0,1.5k Reviews,10.6k Salaries,1 Jobs,Telecom | Hyderabad / Secunderabad +10 other locations
Sysnet Global Technologies,3.9,1.5k Reviews,3.9k Salaries,191 Jobs,IT Services & Consulting | New Delhi +141 other locations
Honda,4.1,1.5k Reviews,4.2k Salaries,5 Jobs,Automobile | Gurgaon / Gurugram +214 other locations
Isgec Heavy Engineering,3.8,1.5k Reviews,6.5k Salaries,31 Jobs,Industrial Machinery | Noida +81 other locations
HDFC Securities,3.5,1.5k Reviews,5.8k Salaries,21 Jobs,Mumbai +179 other locations
TELUS Digital,3.6,1.5k Reviews,8.7k Salaries,59 Jobs,BPO | Noida +25 other locations
Yamaha Motor,4.1,1.5k Reviews,5.1k Salaries,-- Jobs,Automobile | Chennai +137 other locations
Arvind Group,3.9,1.5k Reviews,5.1k Salaries,-- Jobs,Fashion & Textile | Ahmedabad +87 other locations
Johnson & Johnson,4.0,1.5k Reviews,5.7k Salaries,8 Jobs,Healthcare | Mumbai +154 other locations
KONE,4.1,1.5k Reviews,5.4k Salaries,26 Jobs,Software Product | Chennai +66 other locations
Security and Intelligence Services (India),4.2,1.5k Reviews,4.1k Salaries,82 Jobs,Law Enforcement & Security | New Delhi +181 other locations
Pine Labs,3.3,1.5k Reviews,6.6k Salaries,15 Jobs,Financial Services | Noida +103 other locations
Medanta the Medicity,3.9,1.5k Reviews,4.7k Salaries,71 Jobs,Gurgaon / Gurugram +43 other locations
Procter & Gamble,4.1,1.5k Reviews,5.4k Salaries,-- Jobs,FMCG | Mumbai +232 other locations
Wipro Enterprises Ltd,3.8,1.5k Reviews,7.4k Salaries,133 Jobs,FMCG | Bangalore / Bengaluru +112 other locations
Wockhardt,3.8,1.4k Reviews,4k Salaries,15 Jobs,Pharma | Aurangabad +80 other locations
Air India,3.5,1.4k Reviews,6.5k Salaries,38 Jobs,Aviation | New Delhi +60 other locations
Vardhman Fabrics,4.0,1.4k Reviews,5.1k Salaries,15 Jobs,Fashion & Textile | Baddi +56 other locations
K12 Techno Services,3.1,1.4k Reviews,4.8k Salaries,200 Jobs,EdTech | Bangalore / Bengaluru +37 other locations
CSB Bank,3.2,1.4k Reviews,6.3k Salaries,7 Jobs,Banking | Mumbai +199 other locations
Emami,3.9,1.4k Reviews,4.9k Salaries,10 Jobs,FMCG | Kolkata +165 other locations
Hero Motors Company,4.0,1.4k Reviews,5.8k Salaries,-- Jobs,Automobile | Ghaziabad +214 other locations
Caterpillar Inc,4.2,1.4k Reviews,9.3k Salaries,69 Jobs,Industrial Machinery | Chennai +40 other locations
CG Power and Industrial Solutions,3.9,1.4k Reviews,5.9k Salaries,12 Jobs,Electrical Equipment | Bhopal +89 other locations
Godrej Properties,3.6,1.4k Reviews,7.3k Salaries,16 Jobs,Real Estate | Mumbai +32 other locations
Cushman & Wakefield,4.1,1.4k Reviews,5.8k Salaries,90 Jobs,Real Estate | Gurgaon / Gurugram +42 other locations
Capri Global Capital,3.6,1.4k Reviews,3.8k Salaries,43 Jobs,NBFC | New Delhi +286 other locations
AkzoNobel,4.0,1.4k Reviews,4k Salaries,35 Jobs,Chemicals | Pune +143 other locations
Mercer,3.6,1.4k Reviews,9.2k Salaries,87 Jobs,Management Consulting | New Delhi +18 other locations
L.G.Balakrishnan & Bros,3.5,1.4k Reviews,5.5k Salaries,-- Jobs,Auto Components | Coimbatore +54 other locations
Taurus BPO Services,4.5,1.4k Reviews,822 Salaries,-- Jobs,BPO | Pune +23 other locations
Belrise Industries,3.7,1.4k Reviews,5.9k Salaries,12 Jobs,Auto Components | Pune +49 other locations
Oracle Cerner,3.6,1.4k Reviews,10.2k Salaries,-- Jobs,Software Product | Bangalore / Bengaluru +6 other locations
Marico,3.9,1.4k Reviews,5.5k Salaries,29 Jobs,FMCG | Mumbai +169 other locations
LivSpace,3.5,1.4k Reviews,7.3k Salaries,152 Jobs,Architecture & Interior Design | Bangalore / Bengaluru +49 other locations
Provana,4.0,1.4k Reviews,3.5k Salaries,32 Jobs,BPO | Noida +11 other locations
iOPEX Technologies,3.4,1.4k Reviews,5.2k Salaries,8 Jobs,IT Services & Consulting | Chennai +15 other locations
ZF Commercial Vehicle Control Systems,3.9,1.4k Reviews,3.6k Salaries,-- Jobs,Auto Components | Chennai +44 other locations
XL Dynamics,3.1,1.4k Reviews,3.6k Salaries,7 Jobs,IT Services & Consulting | Mumbai +30 other locations
Hitachi Astemo,4.0,1.4k Reviews,5.5k Salaries,-- Jobs,Auto Components | Neemrana +45 other locations
Honeywell Technology Solutions,3.7,1.4k Reviews,11.4k Salaries,1 Jobs,Defence & Aerospace | Bangalore / Bengaluru +18 other locations
Tesco,3.8,1.4k Reviews,8k Salaries,59 Jobs,Retail | Bangalore / Bengaluru +16 other locations
Goldman Sachs,3.5,1.4k Reviews,17.1k Salaries,487 Jobs,Bangalore / Bengaluru +22 other locations
Krishna Maruti,3.9,1.4k Reviews,4.9k Salaries,2 Jobs,Auto Components | Gurgaon / Gurugram +41 other locations
Dainik Bhaskar Group,4.2,1.4k Reviews,4.2k Salaries,55 Jobs,Printing & Publishing | Bhopal +133 other locations
Marriott International,4.1,1.4k Reviews,4.7k Salaries,947 Jobs,Hospitality | Bangalore / Bengaluru +86 other locations
KFC,4.1,1.4k Reviews,2.9k Salaries,1 Jobs,New Delhi +161 other locations
Max Fashion,4.1,1.4k Reviews,3.3k Salaries,6 Jobs,Retail | Bangalore / Bengaluru +146 other locations
Granules India Limited,3.8,1.4k Reviews,5.8k Salaries,5 Jobs,Pharma | Hyderabad / Secunderabad +17 other locations
Clover Infotech,3.5,1.4k Reviews,10.8k Salaries,131 Jobs,IT Services & Consulting | Mumbai +21 other locations
IDC Technologies,3.2,1.4k Reviews,7.2k Salaries,3 Jobs,IT Services & Consulting | Noida +63 other locations
Annapurna Finance,4.0,1.4k Reviews,3.5k Salaries,12 Jobs,NBFC | Bhubaneswar +340 other locations
Godrej Industries Group,3.9,1.4k Reviews,2.8k Salaries,7 Jobs,Chemicals | Mumbai +136 other locations
Tata Group,4.2,1.4k Reviews,5.1k Salaries,3 Jobs,IT Services & Consulting | Mumbai +164 other locations
Teva Pharmaceuticals,3.9,1.4k Reviews,5.3k Salaries,11 Jobs,Pharma | Bangalore / Bengaluru +50 other locations
Welspun Living Limited,4.0,1.4k Reviews,4.6k Salaries,2 Jobs,Fashion & Textile | Anjar +75 other locations
Broadridge Financial Solutions,3.9,1.4k Reviews,9.8k Salaries,65 Jobs,FinTech | Hyderabad / Secunderabad +13 other locations
Bajaj Capital,3.7,1.4k Reviews,3.7k Salaries,137 Jobs,Financial Services | New Delhi +158 other locations
Oberoi Group of Hotels,4.0,1.4k Reviews,3.8k Salaries,-- Jobs,Hospitality | New Delhi +34 other locations
TTEC India,3.7,1.3k Reviews,4.9k Salaries,14 Jobs,BPO | Ahmedabad +32 other locations
Asahi India Glass,3.8,1.3k Reviews,4.7k Salaries,2 Jobs,Auto Components | Chennai +77 other locations
Suguna Foods,4.0,1.3k Reviews,4k Salaries,15 Jobs,Food Processing | Coimbatore +183 other locations
Compass Group Support Services,4.0,1.3k Reviews,5k Salaries,18 Jobs,Facility Management Services | Bangalore / Bengaluru +68 other locations
Relaxo Footwear,4.1,1.3k Reviews,4.3k Salaries,51 Jobs,Fashion & Textile | New Delhi +143 other locations
AB InBev India,3.4,1.3k Reviews,7.3k Salaries,73 Jobs,Beverage | Bangalore / Bengaluru +73 other locations
Aon,3.8,1.3k Reviews,5.6k Salaries,36 Jobs,Financial Services | Gurgaon / Gurugram +23 other locations
Adani Green Energy,4.0,1.3k Reviews,5.1k Salaries,-- Jobs,Power | Ahmedabad +98 other locations
Toyota Kirloskar Motor,4.3,1.3k Reviews,4.1k Salaries,-- Jobs,Automobile | Bangalore / Bengaluru +84 other locations
IFB,3.6,1.3k Reviews,5k Salaries,2 Jobs,Consumer Electronics & Appliances | Bangalore / Bengaluru +158 other locations
ITD Cementation India,4.3,1.3k Reviews,4k Salaries,7 Jobs,Engineering & Construction | Kolkata +83 other locations
Evalueserve,3.1,1.3k Reviews,9.9k Salaries,71 Jobs,IT Services & Consulting | Gurgaon / Gurugram +14 other locations
Satin Creditcare Network,3.9,1.3k Reviews,3.1k Salaries,18 Jobs,NBFC | Gurgaon / Gurugram +282 other locations
Nayara Energy,4.1,1.3k Reviews,5.7k Salaries,7 Jobs,Petrochemicals | Jamnagar +90 other locations
NIIT,3.6,1.3k Reviews,6k Salaries,31 Jobs,Education & Training | Gurgaon / Gurugram +101 other locations
Gland Pharma,3.9,1.3k Reviews,5.7k Salaries,3 Jobs,Medical Equipment | Hyderabad / Secunderabad +31 other locations
Big Bazaar,4.3,1.3k Reviews,3k Salaries,-- Jobs,Retail | New Delhi +157 other locations
Hyatt Regency,4.2,1.3k Reviews,3.2k Salaries,1 Jobs,Hospitality | New Delhi +46 other locations
TCS iON,3.8,1.3k Reviews,3.8k Salaries,-- Jobs,IT Services & Consulting | Chennai +108 other locations
Supreme Industries,4.0,1.3k Reviews,5.3k Salaries,2 Jobs,Petrochemicals | Gwalior +111 other locations
NTT DATA Business Solutions,3.8,1.3k Reviews,11k Salaries,670 Jobs,IT Services & Consulting | Bangalore / Bengaluru +31 other locations
Valeo,4.0,1.3k Reviews,7.6k Salaries,66 Jobs,Auto Components | Chennai +21 other locations
GMR Group,4.0,1.3k Reviews,4.3k Salaries,91 Jobs,Engineering & Construction | New Delhi +63 other locations
Daimler India Commercial Vehicles,4.0,1.3k Reviews,6.3k Salaries,12 Jobs,Automobile | Chennai +46 other locations
Amul India,4.1,1.3k Reviews,3.7k Salaries,2 Jobs,Food Processing | Mumbai +190 other locations
Tata 1mg,3.6,1.3k Reviews,6.1k Salaries,62 Jobs,Internet | Gurgaon / Gurugram +59 other locations
Lumax Industries,4.0,1.3k Reviews,5.4k Salaries,8 Jobs,Auto Components | Gurgaon / Gurugram +35 other locations
Faurecia,3.9,1.3k Reviews,6.2k Salaries,125 Jobs,Auto Components | Pune +28 other locations
Sanofi,4.1,1.3k Reviews,4.8k Salaries,173 Jobs,Pharma | Hyderabad / Secunderabad +81 other locations
ReNew,4.3,1.3k Reviews,5.3k Salaries,46 Jobs,Power | Gurgaon / Gurugram +95 other locations
QualityKiosk Technologies,3.3,1.3k Reviews,10.4k Salaries,203 Jobs,IT Services & Consulting | Mumbai +20 other locations
FedEx Express,3.9,1.3k Reviews,4.5k Salaries,86 Jobs,Logistics | Mumbai +93 other locations
Gujarat Fluorochemicals,3.9,1.3k Reviews,6k Salaries,25 Jobs,Chemicals | Bharuch +29 other locations
Canara Bank,3.4,1.3k Reviews,3.7k Salaries,-- Jobs,Banking | Bangalore / Bengaluru +190 other locations
Ashoka Buildcon,4.1,1.3k Reviews,4k Salaries,4 Jobs,Engineering & Construction | Nashik +144 other locations
Sheenlac Paints,4.4,1.3k Reviews,1.6k Salaries,1 Jobs,Chemicals | Chennai +160 other locations
ISS Facility Services,4.0,1.3k Reviews,3.9k Salaries,13 Jobs,Facility Management Services | Mumbai +64 other locations
Patanjali Foods,3.8,1.3k Reviews,3.7k Salaries,8 Jobs,FMCG | Mumbai +206 other locations
Bisleri,4.2,1.3k Reviews,4.1k Salaries,23 Jobs,Beverage | Mumbai +152 other locations
Sony,4.2,1.3k Reviews,4.4k Salaries,31 Jobs,Consumer Electronics & Appliances | New Delhi +134 other locations
IndiaFirst Life Insurance,3.9,1.3k Reviews,3.4k Salaries,10 Jobs,Insurance | Mumbai +217 other locations
Page Industries,4.2,1.3k Reviews,4.4k Salaries,4 Jobs,Fashion & Textile | Bangalore / Bengaluru +156 other locations
Narayana Educational Society,3.6,1.3k Reviews,4.1k Salaries,8 Jobs,Hyderabad / Secunderabad +140 other locations
Digit Insurance,3.8,1.3k Reviews,4.8k Salaries,60 Jobs,Internet | Bangalore / Bengaluru +77 other locations
IIFL SAMASTA,3.8,1.3k Reviews,2.7k Salaries,6 Jobs,NBFC | Bangalore / Bengaluru +345 other locations
Veritas Finance,4.5,1.3k Reviews,2k Salaries,-- Jobs,NBFC | Chennai +272 other locations
Dixon Technologies,4.0,1.3k Reviews,5.2k Salaries,5 Jobs,Electronics Manufacturing | Noida +39 other locations
Xiaomi,3.9,1.3k Reviews,5.4k Salaries,7 Jobs,Consumer Electronics & Appliances | Bangalore / Bengaluru +201 other locations
The Muthoot Group,3.5,1.3k Reviews,4k Salaries,-- Jobs,Financial Services | New Delhi +288 other locations
Oracle Financial Services Software,3.5,1.3k Reviews,11.2k Salaries,-- Jobs,Software Product | Bangalore / Bengaluru +21 other locations
Steel Strips Wheels,3.7,1.3k Reviews,5.2k Salaries,4 Jobs,Auto Components | Chennai +44 other locations
Aforeserve,3.4,1.3k Reviews,3.7k Salaries,28 Jobs,IT Services & Consulting | Mumbai +151 other locations
