Name,Rating,Reviews,Salary,Jobs,Location
Quess,3.8,8.2k Reviews,29.3k Salaries,35 Jobs,BPO | Bangalore / Bengaluru +663 other locations
Paytm,3.2,8.1k Reviews,32.3k Salaries,673 Jobs,FinTech | Noida +375 other locations
Asian Paints,4.0,8.1k Reviews,23.5k Salaries,28 Jobs,Chemicals | Mumbai +507 other locations
UltraTech Cement,4.2,8k Reviews,22k Salaries,98 Jobs,Building Material | Mumbai +497 other locations
Muthoot Fincorp,4.5,7.9k Reviews,8.6k Salaries,36 Jobs,NBFC | Bangalore / Bengaluru +919 other locations
Maruti Suzuki,4.2,7.8k Reviews,25.7k Salaries,721 Jobs,Automobile | Gurgaon / Gurugram +411 other locations
Shriram Finance,4.0,7.8k Reviews,14.6k Salaries,8 Jobs,NBFC | Chennai +1044 other locations
EXL Service,3.7,7.7k Reviews,41.6k Salaries,169 Jobs,IT Services & Consulting | Noida +60 other locations
Samsung,3.9,7.7k Reviews,25.3k Salaries,35 Jobs,Consumer Electronics & Appliances | Noida +556 other locations
Sutherland Global Services,3.5,7.7k Reviews,31.3k Salaries,334 Jobs,BPO | Chennai +73 other locations
Ericsson,4.1,7.7k Reviews,41.8k Salaries,178 Jobs,Telecom | Noida +158 other locations
Bajaj Finance,4.0,7.6k Reviews,21.8k Salaries,29 Jobs,NBFC | Pune +888 other locations
Cipla,4.1,7.5k Reviews,24.9k Salaries,175 Jobs,Pharma | Mumbai +275 other locations
Dr. Reddy's,4.0,7.3k Reviews,24.7k Salaries,52 Jobs,Pharma | Hyderabad / Secunderabad +200 other locations
Wells Fargo,3.8,7.2k Reviews,50.8k Salaries,374 Jobs,Financial Services | Bangalore / Bengaluru +27 other locations
HGS,3.8,7.2k Reviews,21.8k Salaries,27 Jobs,BPO | Bangalore / Bengaluru +116 other locations
Amazon Development Centre India,4.0,7k Reviews,34.7k Salaries,9 Jobs,Internet | Hyderabad / Secunderabad +145 other locations
ICICI Prudential Life Insurance,4.0,6.9k Reviews,21.9k Salaries,341 Jobs,Insurance | Mumbai +487 other locations
